oid,filter,mjd,mag,magerr,clrcoeff,ref,ref_err
641216100035134,zr,59025.38407,21.186853,0.19180965,0.088043384,21.151,0.081
641216100035134,zr,59031.46058,21.457567,0.21045732,0.092496626,21.151,0.081
641116100063310,zg,59044.34299,21.521555,0.19743598,-0.051870354,21.915,0.177
641116100063310,zg,59047.28267,21.487429,0.19524813,-0.058782168,21.915,0.177
641216100035134,zr,59047.40666,21.180733,0.19138801,0.08969128,21.151,0.081
641216100035134,zr,59048.34688,21.394812,0.20613456,0.09682005,21.151,0.081
641116100063310,zg,59050.41638,21.841187,0.21792758,-0.06993063,21.915,0.177
641216100035134,zr,59051.37207,21.326923,0.2014581,0.09205318,21.151,0.081
641216100035134,zr,59054.36881,21.360954,0.20380235,0.08958005,21.151,0.081
641216100035134,zr,59055.35679,21.294937,0.19925487,0.09468297,21.151,0.081
641216100035134,zr,59059.37668,21.06952,0.18372738,0.09893596,21.151,0.081
641216100035134,zr,59076.3792,21.311268,0.20037973,0.09052892,21.151,0.081
641216100035134,zr,59129.2048,20.688307,0.15746808,0.08659509,21.151,0.081
641216100035134,zr,59137.18377,21.360569,0.20377576,0.09069552,21.151,0.081
641216100035134,zr,59139.24732,21.092573,0.18531537,0.09314819,21.151,0.081
641216100035134,zr,59141.1622,21.325006,0.20132613,0.09064197,21.151,0.081
641216100035134,zr,59143.13872,21.28336,0.19845736,0.083756074,21.151,0.081
641216100035134,zr,59280.52586,20.509066,0.14512134,0.08725891,21.151,0.081
641216100035134,zr,59282.52821,20.873024,0.170192,0.09205813,21.151,0.081
641216100035134,zr,59311.49296,21.14352,0.18882477,0.09300211,21.151,0.081
641116100063310,zg,59314.49501,21.387352,0.18883228,-0.038082734,21.915,0.177
641216100035134,zr,59317.45448,20.815504,0.16622984,0.09497746,21.151,0.081
641216100035134,zr,59344.42535,20.817436,0.166363,0.095038414,21.151,0.081
641116100063310,zg,59344.47197,21.644894,0.20534325,-0.06410962,21.915,0.177
641116100063310,zg,59348.44979,21.930544,0.2236563,-0.085449144,21.915,0.177
641216100035134,zr,59367.40245,21.148777,0.18918681,0.086545885,21.151,0.081
641116100063310,zg,59371.41178,21.557997,0.19977224,-0.07113069,21.915,0.177
641216100035134,zr,59371.44492,21.257797,0.19669652,0.08392356,21.151,0.081
641216100035134,zr,59376.43369,21.287361,0.19873297,0.08909036,21.151,0.081
641216100035134,zr,59381.40349,21.03548,0.18138254,0.091198176,21.151,0.081
641216100035134,zr,59386.41995,20.986519,0.17800999,0.08734407,21.151,0.081
641216100035134,zr,59401.35832,21.128578,0.18779552,0.09230158,21.151,0.081
641216100035134,zr,59403.35163,20.909367,0.1726954,0.09238544,21.151,0.081
641216100035134,zr,59408.3305,21.114305,0.18681228,0.09204771,21.151,0.081
641116100063310,zg,59410.37699,20.648226,0.14144695,-0.021175642,21.915,0.177
641216100035134,zr,59410.38417,19.530865,0.07742688,0.08960657,21.151,0.081
641116100063310,zg,59415.43651,13.245055,0.012150933,-0.06054703,21.915,0.177
641116100063310,zg,59418.34477,12.749337,0.011852442,-0.05216546,21.915,0.177
641116100063310,zg,59435.22544,12.677921,0.011811666,-0.0695592,21.915,0.177
641116100063310,zg,59438.36736,12.828376,0.011898142,-0.08325495,21.915,0.177
641116100063310,zg,59440.29299,12.848485,0.01190987,-0.058131635,21.915,0.177
641116100063310,zg,59442.30513,12.479321,0.011700587,-0.05821115,21.915,0.177
641116100063310,zg,59444.35569,12.605909,0.011771013,-0.07158969,21.915,0.177
641116100063310,zg,59448.20775,12.634379,0.011787032,-0.08849511,21.915,0.177
641116100063310,zg,59450.26293,12.751502,0.011853685,-0.06921174,21.915,0.177
641116100063310,zg,59452.32181,12.834788,0.011901878,-0.05414769,21.915,0.177
641116100063310,zg,59458.28088,12.084973,0.011488312,-0.05408569,21.915,0.177
641116100063310,zg,59460.3053,12.315453,0.011611186,-0.059056446,21.915,0.177
641116100063310,zg,59478.32424,12.536342,0.011732154,-0.057037704,21.915,0.177
641116100063310,zg,59480.3055,12.739834,0.011846989,-0.054343846,21.915,0.177
641116100063310,zg,59484.19703,13.048974,0.012029256,-0.059181847,21.915,0.177
641116100063310,zg,59487.22291,12.759362,0.011858203,-0.078763306,21.915,0.177
641116100063310,zg,59489.22589,12.647469,0.011794419,-0.057027247,21.915,0.177
641116100063310,zg,59502.22804,12.751554,0.0118537145,-0.05922128,21.915,0.177
641116100063310,zg,59504.21579,12.192828,0.01154543,-0.06474072,21.915,0.177
641116100063310,zg,59517.15478,12.861503,0.011917485,-0.041679263,21.915,0.177
641216100035134,zr,59520.22877,11.722257,0.012671832,0.08615358,21.151,0.081
641116100063310,zg,59522.13541,13.282481,0.012174788,-0.07133212,21.915,0.177
641216100035134,zr,59522.18117,12.281729,0.012617713,0.09001854,21.151,0.081
641116100063310,zg,59523.20084,12.674391,0.011809662,-0.0521307,21.915,0.177
641116100063310,zg,59524.1311,12.9759035,0.011985203,-0.06924367,21.915,0.177
641116100063310,zg,59525.12272,14.94973,0.013631033,-0.06641644,21.915,0.177
641216100035134,zr,59525.13329,13.595431,0.012621897,0.085208245,21.151,0.081
